cluster_id,canonical_dish,member_dish,support_count,proposed,accept
25,ฉู่ฉี่ปลาหมอ,ฉูฉี่ปลาหมอ,1,1,0
26,ปลาคังลวกจิ้ม,ปลาคังลวกจิ้ม,4,1,1
26,ปลาคังลวกจิ้ม,ปลาคัง ลวกจิ้ม,1,1,0
27,แกงเลียง,แกงเลียง,33,1,1
27,แกงเลียง,แกงเลี่ยง,1,1,0
28,ปลานึ่ง,ปลานึ่ง,16,1,1
28,ปลานึ่ง,ปลานึ้ง,1,1,0
29,กระเพราหมู,กระเพราหมู,5,1,1
29,กระเพราหมู,กะเพราหมู,1,1,0
30,ผัดซีอิ๊ว,ผัดซีอิ้ว,23,1,0
30,ผัดซีอิ๊ว,ผัดซีอิ๊ว,50,1,1
30,ผัดซีอิ๊ว,ผัดซี่อิ้ว,1,1,0
30,ผัดซีอิ๊ว,ผัดซี้อิ้ว,2,1,0
30,ผัดซีอิ๊ว,ผัดซี๋อิ๋ว,1,1,0
30,ผัดซีอิ๊ว,ผัดซีอิ๋ว,2,1,0
31,ต้มปลา,ต้มปลา,2,1,1
31,ต้มปลา,ปลาต้ม,2,1,0
32,ผัดถั่ว,ถั่วผัด,2,1,0
32,ผัดถั่ว,ผัดถั่ว,3,1,1
33,หมูย่างเส้นหมี่,หมูย่างเส้นหมี่,2,1,1
33,หมูย่างเส้นหมี่,เส้นหมี่หมูย่าง,1,1,0
34,จับฉ่ายผัดไหหลำ,จับฉ่ายผัดไหหลำ,2,1,1
34,จับฉ่ายผัดไหหลำ,ผัดจับฉ่ายไหหลำ,1,1,0
35,ปูผัดพริกเหลือง,ปูผัดพริกเหลือง,10,1,1
35,ปูผัดพริกเหลือง,ผัดพริกเหลืองปู,2,1,0
36,ข้าวหน้าแซลมอน,ข้าวหน้าแซลม่อน,2,1,0
36,ข้าวหน้าแซลมอน,ข้าวหน้าแซลมอน,3,1,1
37,ผัดหมี่ฮ่องกง,ผัดหมี่ฮ่องกง,12,1,1
37,ผัดหมี่ฮ่องกง,ผัดหมีฮ่องกง,1,1,0
37,ผัดหมี่ฮ่องกง,ผัดหมี่ฮองกง,1,1,0
37,ผัดหมี่ฮ่องกง,หมี่ผัดฮ่องกง,1,1,0
37,ผัดหมี่ฮ่องกง,หมีผัดฮ่องกง,1,1,0
37,ผัดหมี่ฮ่องกง,ผัดหมี่ฮ้องกง,1,1,0
38,ยำถั่วพลู,ยำถั่วพลู,39,1,1
38,ยำถั่วพลู,ยำถั่วพูล,1,1,0
39,ทอดมันกุ้ง,ทอดมันกุ้ง,119,1,1
39,ทอดมันกุ้ง,กุ้งทอดมัน,1,1,0
40,ไก่ทอด,ไก่ทอด,368,1,1
40,ไก่ทอด,ไก่ทอด/,1,1,0
40,ไก่ทอด,ไก่ทอด*,1,1,0
40,ไก่ทอด,ทอดไก่,1,1,0
41,เนื้อย่าง,เนื้อย่าง,223,1,1
41,เนื้อย่าง,ย่างเนื้อ,2,1,0
41,เนื้อย่าง,เนื้อ ย่าง,1,1,0
42,ปลาแซลมอน,ปลาแซลมอน,24,1,1
42,ปลาแซลมอน,ปลาแซลม่อน,3,1,0
43,ซุปหน่อไม้,ซุปหน่อไม้,17,1,1
43,ซุปหน่อไม้,ซุปหนอไม้,1,1,0
44,คอหมูย่าง,คอหมูย่าง,350,1,1
44,คอหมูย่าง,คอหมูย่าง),1,1,0
45,ปีกไก่ทอด,ปีกไก่ทอด,106,1,1
45,ปีกไก่ทอด,ปีกไก่ทอด/,1,1,0
46,แกงคั่วหอยขม,แกงคั่วหอยขม,80,1,1
46,แกงคั่วหอยขม,แกงคั้วหอยขม,1,1,0
47,เมี่ยงปลากระพง,เมี่ยงปลากระพง,11,1,1
47,เมี่ยงปลากระพง,เมี้ยงปลากระพง,1,1,0
48,เนื้อวากิวย่าง,เนื้อย่างวากิว,2,1,0
48,เนื้อวากิวย่าง,เนื้อวากิวย่าง,3,1,1
49,หมูย่าง,หมูย่าง,94,1,1
49,หมูย่าง,หมูย่าง),1,1,0
50,ไก่ย่าง,ไก่ย่าง,242,1,1
50,ไก่ย่าง,ไก่ยาง,1,1,0
51,ปลาหมึกยำ,ยำปลาหมึก,1,1,0
51,ปลาหมึกยำ,ปลาหมึกยำ,1,1,1
52,สเต็กหมู,สเต็กหมู,24,1,1
52,สเต็กหมู,หมูสเต็ก,3,1,0
53,ข้าวราด,ข้าวราด,8,1,1
53,ข้าวราด,ราดข้าว,4,1,0
54,ใบเหลียงผัดไข่,ใบเหลียงผัดไข่,60,1,1
54,ใบเหลียงผัดไข่,ผัดไข่ใบเหลียง,2,1,0
55,กระเพราปลาหมึก,กระเพราปลาหมึก,5,1,1
55,กระเพราปลาหมึก,กะเพราปลาหมึก,3,1,0
56,แกงเหลืองปลากระพงยอดมะพร้าว,แกงเหลืองปลากระพงยอดมะพร้าว,3,1,1
56,แกงเหลืองปลากระพงยอดมะพร้าว,แกงเหลืองยอดมะพร้าวปลากระพง,2,1,0
57,ข้าวกล้อง,ข้าวกล้อง,11,1,1
57,ข้าวกล้อง,ข้าวกล่อง,6,1,0
58,ปลากะพงนึ่งซีอิ๊ว,ปลากะพงนึ่งซีอิ้ว,1,1,0
58,ปลากะพงนึ่งซีอิ๊ว,ปลากะพงนึ่งซีอิ๊ว,5,1,1
58,ปลากะพงนึ่งซีอิ๊ว,ปลากะพงนึ่งซีอิ๋ว,1,1,0
59,ข้าวราดแกง,ข้าวราดแกง,53,1,1
59,ข้าวราดแกง,แกงราดข้าว,3,1,0
60,แกงรัญจวน,แกงรัญจวน,37,1,1
60,แกงรัญจวน,แกง รัญจวน,1,1,0
61,ปลาเผา,ปลาเผา,90,1,1
61,ปลาเผา,ปลาเผ่า,1,1,0
62,ปลาช่อนแป๊ะซะ,แป๊ะซะปลาช่อน,3,1,0
62,ปลาช่อนแป๊ะซะ,ปลาช่อนแป๊ะซะ,9,1,1
62,ปลาช่อนแป๊ะซะ,ปลาช่อนแป๊ะซ๊ะ,1,1,0
62,ปลาช่อนแป๊ะซะ,แป๊ะซ๊ะปลาช่อน,1,1,0
62,ปลาช่อนแป๊ะซะ,ปลาช่อนแปะซะ,2,1,0
63,กุ้งผัดผงกะหรี่,กุ้งผัดผงกะหรี่,7,1,1
63,กุ้งผัดผงกะหรี่,ผัดผงกะหรี่กุ้ง,1,1,0
64,ปลากระพงนึ่งซีอิ๊ว,ปลากระพงนึ่งซีอิ๊ว,14,1,1
64,ปลากระพงนึ่งซีอิ๊ว,ปลากระพงนึ่งซีอิ๋ว,1,1,0
64,ปลากระพงนึ่งซีอิ๊ว,ปลากระพงนึ่งซีอิ้ว,3,1,0
64,ปลากระพงนึ่งซีอิ๊ว,ปลากระพงนึ่งซี้อิ๊ว,1,1,0
65,หมึกผัดไข่เค็ม,หมึกผัดไข่เค็ม,55,1,1
65,หมึกผัดไข่เค็ม,ผัดหมึกไข่เค็ม,1,1,0
66,มาม่าต้มยำ,มาม่าต้มยำ,7,1,1
66,มาม่าต้มยำ,ต้มยำมาม่า,1,1,0
67,ผัดฉ่าทะเล,ผัดฉ่าทะเล,19,1,1
67,ผัดฉ่าทะเล,ทะเลผัดฉ่า,3,1,0
67,ผัดฉ่าทะเล,ผัดฉ่า ทะเล,1,1,0
68,หล่นกุ้ง,หล่นกุ้ง,1,1,1
68,หล่นกุ้ง,หลนกุ้ง,1,1,0
68,หล่นกุ้ง,กุ้งหลน,1,1,0
69,หมูตุ๋น,หมูตุ๋น,51,1,1
69,หมูตุ๋น,หมูตุ่น,1,1,0
70,กะเพราเนื้อตุ๋น,กะเพราเนื้อตุ๋น,2,1,1
70,กะเพราเนื้อตุ๋น,กะเพราเนื้อตุ่น,1,1,0
71,ไก่กระเทียม,ไก่กระเทียม,34,1,1
71,ไก่กระเทียม,กระเทียมไก่,1,1,0
71,ไก่กระเทียม,ไก่กระเที่ยม,1,1,0
72,ข้าวราดผัดเผ็ดหมูป่า,ข้าวราดผัดเผ็ดหมูป่า,1,1,1
72,ข้าวราดผัดเผ็ดหมูป่า,หมูป่าผัดเผ็ดราดข้าว,1,1,0
73,ข้าวผัดกุ้ง,ข้าวผัดกุ้ง,65,1,1
73,ข้าวผัดกุ้ง,กุ้งผัดข้าว,1,1,0
74,ยำแซลมอน,ยำแซลมอน,19,1,1
74,ยำแซลมอน,ยำแซลม่อน,16,1,0
75,ส้มตำปูปลาร้า,ส้มตำปูปลาร้า,55,1,1
75,ส้มตำปูปลาร้า,ส้มตำปู&ปลาร้า,1,1,0
75,ส้มตำปูปลาร้า,ส้มตำปปลาร้า,1,1,0
75,ส้มตำปูปลาร้า,ส้มต้ำปูปลาร้า,1,1,0
76,กะเพราขาหมู,กะเพราขาหมู,5,1,1
76,กะเพราขาหมู,กระเพราขาหมู,2,1,0
77,ขาหมูพะโล้,ขาหมูพะโล้,2,1,1
77,ขาหมูพะโล้,พะโล้ขาหมู,1,1,0
77,ขาหมูพะโล้,ขาหมูพะโล,1,1,0
78,หมูทอด,หมูทอด,127,1,1
78,หมูทอด,ทอดหมู,2,1,0
79,ข้าวคลุกกะปิ,ข้าวคลุกกะปิ,43,1,1
79,ข้าวคลุกกะปิ,ข้าวคลกกะปิ,1,1,0
80,กระเพราหมูกรอบ,กระเพราหมูกรอบ,27,1,1
80,กระเพราหมูกรอบ,กะเพราหมูกรอบ,15,1,0
81,กระเพราเนื้อ,กะเพราเนื้อ,20,1,0
81,กระเพราเนื้อ,กระเพราเนื้อ,25,1,1
82,กระเพราหมูทอด,กะเพราหมูทอด,1,1,0
82,กระเพราหมูทอด,กระเพราหมูทอด,1,1,1
83,ไก่ผัดเม็ดมะม่วง,ไก่ผัดเม็ดมะม่วง,46,1,1
83,ไก่ผัดเม็ดมะม่วง,ผัดไก่เม็ดมะม่วง,1,1,0
84,ผัดหอยลาย,ผัดหอยลาย,29,1,1
84,ผัดหอยลาย,หอยลายผัด,2,1,0
85,หนำเลี๊ยบหมูสับ,หนำเลี๊ยบหมูสับ,3,1,1
85,หนำเลี๊ยบหมูสับ,หมูสับหนำเลี้ยบ,2,1,0
85,หนำเลี๊ยบหมูสับ,หมูสับหนำเลี๊ยบ,2,1,0
85,หนำเลี๊ยบหมูสับ,หนำเลี้ยบหมูสับ,2,1,0
85,หนำเลี๊ยบหมูสับ,หนำเลียบหมูสับ,2,1,0
86,ซุปเปอร์ขาไก่,ซุปเปอร์ขาไก่,11,1,1
86,ซุปเปอร์ขาไก่,ซุ๊ปเปอร์ขาไก่,1,1,0
86,ซุปเปอร์ขาไก่,ขาไก่ซุปเปอร์,2,1,0
87,ผัดผงกะหรี่,ผัดผงกะหรี,1,1,0
87,ผัดผงกะหรี่,ผัดผงกะหรี่,12,1,1
88,ผัดผักบุ้ง,ผัดผักบุ้ง,50,1,1
88,ผัดผักบุ้ง,ผักบุ้งผัด,3,1,0
89,ขาไก่,ขาไก่,9,1,1
89,ขาไก่,ข่าไก่,1,1,0
90,ซี่โครงหมู,ซี่โครงหมู,42,1,1
90,ซี่โครงหมู,หมูซี่โครง,1,1,0
91,น้ำซุปสุกี้,สุกี้น้ำซุป,1,1,0
91,น้ำซุปสุกี้,น้ำซุปสุกี้,1,1,1
92,กระเพาะปลาผัดแห้ง,กระเพาะปลาผัดแห้ง,14,1,1
92,กระเพาะปลาผัดแห้ง,ผัดกระเพาะปลาแห้ง,1,1,0
93,เนื้อแดดเดียวทอด,เนื้อแดดเดียวทอด,6,1,1
93,เนื้อแดดเดียวทอด,เนื้อทอดแดดเดียว,4,1,0
94,ข้าวมันไก่,ข้าวมันไก่,735,1,1
94,ข้าวมันไก่,ข้าวมั่นไก่,1,1,0
95,นมหมูย่าง,นมหมู่ย่าง,1,1,0
95,นมหมูย่าง,นมหมูย่าง,6,1,1
96,หมูจุ่ม,หมูจุ่ม,23,1,1
96,หมูจุ่ม,หมูจุ๋ม,1,1,0
97,จิ้มจุ่มหมู,จิ้มจุ่มหมู,2,1,1
97,จิ้มจุ่มหมู,หมูจิ้มจุ่ม,1,1,0
98,ผัดกระเพรา,ผัดกะเพรา,24,1,0
98,ผัดกระเพรา,ผัดกระเพรา,38,1,1
99,สุกี้ผัดแห้ง,สุกี้แห้งผัด,2,1,0
99,สุกี้ผัดแห้ง,สุกี้ผัดแห้ง,3,1,1
100,ทะเลผัดผงกะหรี่,ผัดผงกะหรี่ทะเล,2,1,0
100,ทะเลผัดผงกะหรี่,ทะเลผัดผงกะหรี่,4,1,1
101,สเต็กเนื้อ,สเต็กเนื้อ,48,1,1
101,สเต็กเนื้อ,เนื้อสเต็ก,12,1,0
102,น้ำจิ้มหมูกระทะ,น้ำจิ้มหมูกระทะ,2,1,1
102,น้ำจิ้มหมูกระทะ,หมูกระทะน้ำจิ้ม,1,1,0
103,สันคอหมูสไลด์,สันคอหมูสไลด์,1,1,1
103,สันคอหมูสไลด์,หมูสันคอสไลด์,1,1,0
104,ก๋วยเตี๋ยวเนื้อเส้นเล็ก,ก๋วยเตี๋ยวเส้นเล็กเนื้อ,1,1,0
104,ก๋วยเตี๋ยวเนื้อเส้นเล็ก,ก๋วยเตี๋ยวเนื้อเส้นเล็ก,1,1,1
105,แคปหมู,แคปหมู,11,1,1
105,แคปหมู,แค๊ปหมู,1,1,0
106,ข้าวกระเพรา,ข้าวกะเพรา,12,1,0
106,ข้าวกระเพรา,ข้าวกระเพรา,15,1,1
107,ก๋วยเตี๋ยวเรือ หมู,ก๋วยเตี๋ยวเรือ หมู,2,1,1
107,ก๋วยเตี๋ยวเรือ หมู,ก๋วยเตี๋ยวเรือหมู,2,1,0
108,ก๊วยเตี๋ยวเรือเนื้อ,ก๋วยเตี๋ยวเรือ เนื้อ,1,1,0
108,ก๊วยเตี๋ยวเรือเนื้อ,ก๋วยเตี๋ยวเรือ(เนื้อ),1,1,0
108,ก๊วยเตี๋ยวเรือเนื้อ,ก๋วยเตี๋ยวเรือเนื้อ,1,1,0
108,ก๊วยเตี๋ยวเรือเนื้อ,ก๊วยเตี๋ยวเรือเนื้อ,2,1,1
109,ก๋วยเตี๋ยวเนื้อ,ก๋วยเตี๋ยวเนื้อ,91,1,1
109,ก๋วยเตี๋ยวเนื้อ,ก๊วยเตี๋ยวเนื้อ,3,1,0
110,ข้าวผัดกระเพรา,ข้าวผัดกระเพรา,10,1,1
110,ข้าวผัดกระเพรา,ข้าวผัดกะเพรา,2,1,0
111,ก๋วยเตี๋ยวหมูน้ำตก,ก้วยเตี่ยวหมูน้ำตก,1,1,0
111,ก๋วยเตี๋ยวหมูน้ำตก,ก๋วยเตี๋ยวหมูน้ำตก,2,1,1
112,พริกน้ำปลา,พริกน้ำปลา,18,1,1
112,พริกน้ำปลา,น้ำปลาพริก,9,1,0
113,ผัดเผ็ดหมูป่า,ผัดเผ็ดหมูป่า,27,1,1
113,ผัดเผ็ดหมูป่า,หมูป่าผัดเผ็ด,6,1,0
113,ผัดเผ็ดหมูป่า,ผัดเผ็ดหมู่ป่า,1,1,0
114,ผัดคะน้าปลาเค็ม,ผัดคะน้าปลาเค็ม,5,1,1
114,ผัดคะน้าปลาเค็ม,คะน้าผัดปลาเค็ม,3,1,0
115,แกงส้มแป๊ะซะ,แกงส้มแป๊ะซะ,5,1,1
115,แกงส้มแป๊ะซะ,แกงส้มแปะซะ,4,1,0
116,ต้มยำกุ้งหม้อไฟ,ต้มยำก้งหม้อไฟ,1,1,0
116,ต้มยำกุ้งหม้อไฟ,ต้มยำกุ้งหม้อไฟ,1,1,1
117,หมูย่างใบชะพลู,หมูย่างใบชะพลู,3,1,1
117,หมูย่างใบชะพลู,หมูย่างใบชะพูล,1,1,0
117,หมูย่างใบชะพลู,หมูยางใบชะพลู,1,1,0
118,ก๋วยเตี๋ยวคั่วไก่,ก๊วยเตี๋ยวคั่วไก่,1,1,0
118,ก๋วยเตี๋ยวคั่วไก่,ก๋วยเตี๋ยวคั่วไก่,34,1,1
119,กุ้งผัดซอสมะขาม,กุ้งผัดซอสมะขาม,3,1,1
119,กุ้งผัดซอสมะขาม,กุ้งผัดซ้อสมะขาม,1,1,0
120,หอยหลอดผัดฉ่า,หอยหลอดผัดฉ่า,15,1,1
120,หอยหลอดผัดฉ่า,ผัดฉ่าหอยหลอด,3,1,0
121,ต้มส้มปลากระบอก,ต้มส้มปลากระบอก,27,1,1
121,ต้มส้มปลากระบอก,ปลากระบอกต้มส้ม,4,1,0
122,เนื้อโคขุนย่าง,เนื้อโคขุนย่าง,4,1,1
122,เนื้อโคขุนย่าง,เนื้อย่างโคขุน,1,1,0
123,ข้าวหมูแดงหมูกรอบ,ข้าวหมูแดงหมูกรอบ,31,1,1
123,ข้าวหมูแดงหมูกรอบ,ข้าวหมูกรอบหมูแดง,2,1,0
124,แกงส้มไหลบัวกุ้ง,แกงส้มไหลบัวกุ้ง,4,1,1
124,แกงส้มไหลบัวกุ้ง,แกงส้มกุ้งไหลบัว,1,1,0
125,หนังไก่ย่าง,หนังไก่ย่าง,4,1,1
125,หนังไก่ย่าง,ไก่ย่างหนัง,1,1,0
126,หม้อไฟเนื้อ,หม้อไฟเนื้อ,13,1,1
126,หม้อไฟเนื้อ,เนื้อหม้อไฟ,2,1,0
127,กุ้งทอดซอสมะขาม,กุ้งทอดซอสมะขาม,29,1,1
127,กุ้งทอดซอสมะขาม,กุงทอดซอสมะขาม,1,1,0
128,หัวปลาแซลม่อนนึ่งซีอิ๊ว,หัวปลาแซลมอนนึ่งซีอิ้ว,1,1,0
128,หัวปลาแซลม่อนนึ่งซีอิ๊ว,หัวปลาแซลม่อนนึ่งซีอิ๊ว,1,1,1
129,ข้าวหน้าปลาแซลม่อน,ข้าวหน้าปลาแซลม่อน,2,1,1
129,ข้าวหน้าปลาแซลม่อน,ข้าวหน้าปลาแซลมอน,1,1,0
130,ยำรวมมิตรทะเล,ยำรวมมิตรทะเล,2,1,1
130,ยำรวมมิตรทะเล,ยำทะเลรวมมิตร,1,1,0
131,หมึกไข่ย่าง,ไข่หมึกย่าง,1,1,0
131,หมึกไข่ย่าง,หมึกไข่ย่าง,1,1,1
132,ผัดหมึกดำ,ผัดหมึกดำ,1,1,1
132,ผัดหมึกดำ,หมึกผัดดำ,1,1,0
133,ปลาดุกทะเลผัดฉ่า,ผัดฉ่าปลาดุกทะเล,1,1,0
133,ปลาดุกทะเลผัดฉ่า,ปลาดุกทะเลผัดฉ่า,11,1,1
134,ข้าวผัดหนำเลี๊ยบ,ข้าวผัดหนำเลี๊ยบ,6,1,1
134,ข้าวผัดหนำเลี๊ยบ,ข้าวผัดหน่ำเลี้ยบ,1,1,0
134,ข้าวผัดหนำเลี๊ยบ,ข้าวผัดหนำเลียบ,2,1,0
134,ข้าวผัดหนำเลี๊ยบ,ข้าวผัดหนำเลี้ยบ,1,1,0
135,ราดหน้าปลาเต้าซี่,ราดหน้าเต้าซี่ปลา,1,1,0
135,ราดหน้าปลาเต้าซี่,ราดหน้าปลาเต้าซี่,10,1,1
136,หมูกรอบพริกแกง,หมูกรอบพริกแกง,4,1,1
136,หมูกรอบพริกแกง,พริกแกงหมูกรอบ,1,1,0
137,ผัดอาหาร,อาหารผัด,1,1,0
137,ผัดอาหาร,ผัดอาหาร,1,1,1
138,ก๋วยเตี๋ยวไก่,ก๋วยเตี๋ยวไก่,44,1,1
138,ก๋วยเตี๋ยวไก่,ก๊วยเตี๋ยวไก่,1,1,0
139,เนื้อเสือร้องไห้,เนื้อเสือร้องไห้,7,1,1
139,เนื้อเสือร้องไห้,เนื้อเสื้อร้องไห้,1,1,0
140,ผัดวุ้นเส้น,ผัดวุ้นเส้น,17,1,1
140,ผัดวุ้นเส้น,วุ้นเส้นผัด,1,1,0
141,น้ำซุปหม่าล่า,น้ำซุปหม่าล่า,17,1,1
141,น้ำซุปหม่าล่า,น้ำซุปหมาล่า,9,1,0
141,น้ำซุปหม่าล่า,น้ำซุปหม่าล้า,1,1,0
142,ยำ3ไข่,ยำ 3 ไข่,1,1,0
142,ยำ3ไข่,ยำ3ไข่,3,1,1
143,ต้มยำหมึกไข่,ต้มยำหมึกไข่,3,1,1
143,ต้มยำหมึกไข่,ต้มยำไข่หมึก,2,1,0
144,ปลาหมึกนึ่งมะนาว,ปลาหมึกนึ่งมะนาว,34,1,1
144,ปลาหมึกนึ่งมะนาว,ปลาหมึกนึงมะนาว,1,1,0
145,หมูหัน,หมูหัน,76,1,1
145,หมูหัน,หมูหั่น,2,1,0
146,เนื้อเป็ดผัดกระเพรา,เนื้อเป็ดผัดกระเพรา,1,1,1
146,เนื้อเป็ดผัดกระเพรา,เนื้อเป็ดผัดกะเพรา,1,1,0
147,ต้มข่าไก่,ต้มข่าไก่,33,1,1
147,ต้มข่าไก่,ต้มขาไก่,1,1,0
147,ต้มข่าไก่,ขาไก่ต้ม,2,1,0
148,หลนปลาอินทรีย์,หลนปลาอินทรีย์,4,1,1
148,หลนปลาอินทรีย์,หล่นปลาอินทรีย์,1,1,0
149,ไก่ย่างหนังกรอบ,ไก่ย่างหนังกรอบ,21,1,1
149,ไก่ย่างหนังกรอบ,หนังไก่ย่างกรอบ,1,1,0
150,ปลาหิมะนึ่งซีอิ้ว,ปลาหิมะนึ่งซีอิ๊ว,1,1,0
150,ปลาหิมะนึ่งซีอิ้ว,ปลาหิมะนึ่งซีอิ๋ว,1,1,0
150,ปลาหิมะนึ่งซีอิ้ว,ปลาหิมะนึ่งซีอิ้ว,1,1,1
151,ไก่หนังกรอบ,หนังไก่กรอบ,3,1,0
151,ไก่หนังกรอบ,ไก่หนังกรอบ,4,1,1
152,ปลาคังผัดฉ่า,ผัดฉ่าปลาคัง,11,1,0
152,ปลาคังผัดฉ่า,ปลาคังผัดฉ่า,11,1,1
152,ปลาคังผัดฉ่า,ผัดฉาปลาคัง,1,1,0
153,ปลากระพงผัดฉ่า,ปลากระพงผัดฉ่า,2,1,1
153,ปลากระพงผัดฉ่า,ผัดฉ่าปลากระพง,1,1,0
154,ปลานึ่งซีอิ๊ว,ปลานึ่งซีอิ๊ว,8,1,1
154,ปลานึ่งซีอิ๊ว,ปลานึ่งซีอิ๋ว,3,1,0
154,ปลานึ่งซีอิ๊ว,ปลานึ่งซีอิ้ว,5,1,0
155,ปลาไข่,ไข่ปลา,2,1,0
155,ปลาไข่,ปลาไข่,4,1,1
156,ลาบเนื้อ,ลาบเนื้อ,5,1,1
156,ลาบเนื้อ,เนื้อลาบ,1,1,0
157,หมูสเต๊ะ,หมูสเต๊ะ,17,1,1
157,หมูสเต๊ะ,หมูสเต้ะ,1,1,0
157,หมูสเต๊ะ,หมูสเตะ,2,1,0
158,หมูกรอบคั่วพริกเกลือ,หมูกรอบคั่วพริกเกลือ,41,1,1
158,หมูกรอบคั่วพริกเกลือ,หมูกรอบคั้วพริกเกลือ,1,1,0
159,หมี่ผัดกระเฉด,ผัดหมี่กระเฉด,10,1,0
